EJERCICIO,NRO_OP,NRO_REG_COMP,TIPO_COMPROB,NRO_COMPROB,COD_PROV,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,IMPORTE_IMPUT
2026,257,99,FAB,0007-00011001,160,110,2,9,5,0,1110104000,17,0,0,29470.0
2026,258,195,FAB,0007-00011055,160,110,2,5,7,0,1110104000,16,0,0,212160.0
2026,258,195,FAB,0007-00011055,160,110,2,9,5,0,1110104000,16,0,0,35595.0
2026,259,57,FAB,0007-00011000,160,110,2,5,7,0,1110104000,17,0,0,117940.0
2026,259,57,FAB,0007-00011000,160,110,2,9,5,0,1110104000,17,0,0,158000.0
2026,260,274,COM,0000-01200001,1489,131,3,5,4,0,1110104000,16,0,0,1641008.0
2026,261,384,COM,1100-01101104,708,110,3,5,4,0,1110109000,28,0,0,6487.0
2026,262,305,FAB,0003-00017139,3430,110,3,5,9,0,1110115000,1,0,0,2200997.5
2026,263,476,FAB,0010-00000539,2869,131,2,1,1,0,1110104000,16,0,0,1192821.0
2026,264,224,FAB,0010-00000533,2869,110,2,1,1,0,1110106000,49,0,0,231920.0
2026,264,224,FAB,0010-00000534,2869,110,2,1,1,0,1110106000,49,0,0,247920.0
2026,265,625,COM,2026-57000000,50031,110,5,1,4,0,1110106000,24,0,0,13000.0
2026,266,266,FAC,0002-00001002,1267,110,2,7,9,0,1110118000,46,0,0,59780.0
2026,266,266,FAC,0002-00001002,1267,110,2,9,6,0,1110118000,46,0,0,16900.0
2026,266,266,FAC,0002-00001002,1267,110,2,9,9,0,1110118000,46,0,0,176431.0
2026,266,266,FAC,0002-00001002,1267,110,3,3,2,0,1110118000,46,0,0,1373622.0
2026,267,70,FAB,0006-00000809,2627,131,2,1,1,0,1110104000,16,0,0,29000.0
2026,268,69,FAB,0006-00000808,2627,131,2,1,1,0,1110104000,16,0,0,13000.0
2026,269,298,COM,1100-01101105,708,110,3,5,4,0,1110106000,24,0,0,2568.0
2026,270,626,COM,2026-56000001,50031,110,5,1,4,0,1110106000,24,0,0,20000.0
2026,271,627,FAB,2018-00001747,50154,110,1,5,0,0,1110106000,24,0,0,43000.0
2026,272,502,FAB,0051-00028139,85,131,4,3,4,0,1110104000,16,0,0,199999.0
2026,272,502,FAB,0051-00028139,85,131,4,3,7,0,1110104000,16,0,0,1404999.0
2026,273,102,FAB,0007-00011033,160,132,2,1,4,0,1110106000,25,0,0,9800.0
2026,274,277,FAB,0005-00000892,2450,132,2,1,1,0,1110106000,25,0,0,218900.0
2026,274,277,FAB,0005-00000892,2450,132,2,9,9,0,1110106000,25,0,0,4000.0
2026,275,652,COM,0000-10250000,789,110,3,3,9,0,1110108000,29,0,0,537751.0
2026,275,652,FAA,0002-00095706,789,110,3,1,1,0,1110108000,29,0,0,161744.53
2026,275,652,FAA,0002-00095717,789,110,3,1,1,0,1110108000,29,0,0,166252.79
2026,275,652,FAA,0002-00095734,789,110,3,1,1,0,1110108000,29,0,0,30682.97
2026,275,652,FAA,0004-67197731,789,110,3,1,3,0,1110108000,29,0,0,79727.59
2026,275,652,FAA,0004-67197732,789,110,3,1,3,0,1110108000,29,0,0,103775.5
2026,275,652,FAA,0005-00544823,789,110,3,1,9,0,1110108000,29,0,0,53100.05
2026,275,652,FAA,0007-00177182,789,110,3,1,4,0,1110108000,29,0,0,29021.07
2026,275,652,FAA,0007-00177205,789,110,3,1,4,0,1110108000,29,0,0,29021.07
2026,275,652,FAS,0119-03076743,789,110,3,1,2,0,1110108000,29,0,0,29777.18
2026,275,652,FAS,0119-03076942,789,110,3,1,2,0,1110108000,29,0,0,17729.11
2026,276,659,COM,2026-08300000,50154,110,1,5,0,0,1110104000,16,0,0,58800.0
2026,277,660,COM,2026-01202500,50087,110,3,5,5,0,1110112000,1,0,0,1746675.72
2026,278,661,FAB,0002-02015922,50929,110,3,4,6,0,1110115000,1,0,0,165600.0
2026,280,370,FAB,0010-00000537,2869,131,2,1,1,0,1110104000,16,0,0,1495929.0
2026,281,382,FAB,0010-00000538,2869,131,2,1,1,0,1110104000,16,0,0,1518843.0
2026,282,667,FAB,0007-02444124,2969,110,3,1,4,0,1110102000,1,0,0,576759.12
2026,284,668,COM,2502-20725608,50219,110,3,5,4,0,1110102000,1,0,0,41040.0
2026,284,668,FAA,0002-00097473,50219,110,3,1,1,0,1110102000,1,0,0,104131.52
2026,284,668,FAB,0004-68183222,50219,110,3,1,3,0,1110102000,1,0,0,30738.74
2026,284,668,FAS,0119-06657654,50219,110,3,1,2,0,1110102000,1,0,0,10696.17
