EJERCICIO,NRO_REGUL,NRO_RENG,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,CODIGO_UE,CODIGO_AXT,COD_PROV,IMPORTE,DEUDA,OBSERVACIONES
2005,120,27,132,3,3,2,0,1110102000,1,0,0,2,,50158,-88.0,N,
2005,120,28,132,3,4,9,0,1110102000,42,0,0,2,,152,246.0,N,
2005,120,29,132,3,4,9,0,1110102000,1,0,0,2,,152,-246.0,N,
2005,120,30,110,3,7,2,0,1110102000,1,0,0,2,,50003,62.12,N,
2005,120,31,132,3,7,2,0,1110102000,1,0,0,2,,50003,-62.12,N,
2005,120,32,132,4,3,7,0,1110102000,42,0,0,2,,517,304.0,N,
2005,120,33,132,4,3,7,0,1110102000,1,0,0,2,,517,-304.0,N,
2005,120,34,132,5,1,4,0,1110102000,42,0,0,2,,403,530.0,N,
2005,120,35,132,5,1,4,0,1110102000,1,0,0,2,,403,-530.0,N,
2005,121,0,132,2,8,4,0,1110103000,51,78,0,3,,332,847.0,N,
2005,121,1,110,2,8,4,0,1110103000,51,78,0,3,,332,-847.0,N,
2005,121,2,132,3,5,1,0,1110103000,51,78,0,3,,640,2266.1,N,
2005,121,3,110,3,5,1,0,1110103000,51,78,0,3,,640,-2266.1,N,
2005,122,0,110,3,5,1,0,1110103000,51,79,0,3,,178,2533.0,N,
2005,122,1,132,3,5,1,0,1110103000,51,79,0,3,,178,-2533.0,N,
2005,122,2,110,3,5,1,0,1110103000,51,79,0,3,,444,4913.0,N,
2005,122,3,132,3,5,1,0,1110103000,51,79,0,3,,444,-4913.0,N,
2005,123,0,132,3,7,2,0,1110105000,46,0,0,6,,50003,298.68,N,
2005,123,1,132,3,7,2,0,1110105000,27,0,0,6,,50003,-298.68,N,
2005,124,0,132,2,1,1,0,1110106000,41,0,0,7,,406,4147.5,N,
2005,124,1,132,2,1,1,0,1110106000,24,0,0,7,,406,-4147.5,N,
2005,124,2,132,3,3,1,0,1110106000,41,0,0,7,,50012,80.0,N,
2005,124,3,132,3,3,1,0,1110106000,24,0,0,7,,50012,-80.0,N,
2005,124,4,132,3,5,5,0,1110106000,41,0,0,7,,50087,101.0,N,
2005,124,5,132,3,5,5,0,1110106000,24,0,0,7,,50087,-101.0,N,
2005,124,6,132,3,7,2,0,1110106000,41,0,0,7,,50003,74.52,N,
2005,124,7,132,3,7,2,0,1110106000,24,0,0,7,,50003,-74.52,N,
2005,124,8,132,5,1,4,0,1110106000,41,0,0,7,,430,940.0,N,
2005,124,9,132,5,1,4,0,1110106000,24,0,0,7,,430,-940.0,N,
2005,124,10,132,5,1,4,0,1110106000,41,0,0,7,,50015,3926.48,N,
2005,124,11,132,5,1,4,0,1110106000,24,0,0,7,,50015,-3926.48,N,
2005,124,12,132,5,1,4,0,1110106000,41,0,0,7,,90,7814.0,N,
