EJERCICIO,COD_PROV,EJERCICIO_OC,ORDEN_COMPRA,CODIGO_FF,ES_PROY,IMPORTE_TOTAL,OBSERVACIONES
2004,3,2003,2058,,N,130.0,DEUDA FLOTANTE
2004,3,2003,2579,,N,1930.0,DEUDA FLOTANTE
2004,45,2003,2561,,N,870.0,DEUDA FLOTANTE
2004,45,2003,2576,,N,740.0,DEUDA FLOTANTE
2004,41,2003,1902,,N,100.0,DEUDA FLOTANTE
2004,183,2003,2271,,N,230.0,DEUDA FLOTANTE
2004,184,2003,2865,,N,274.0,DEUDA FLOTANTE
2004,63,2003,2860,,N,411.21,DEUDA FLOTANTE
2004,191,2003,984,,N,105.0,DEUDA FLOTANTE
2004,185,2003,2842,,N,934.0,DEUDA FLOTANTE
2004,185,2003,2846,,N,757.0,DEUDA FLOTANTE
2004,195,2000,376,,N,210.42,Materiales electricos para el Hospital
2004,192,2000,1989,,N,600.0,Bomba de Agua p Barrido
2004,50075,2003,1317,,N,72.0,GASTOS DE DILIGENCIAMIENTO
2004,202,2003,2721,,N,295.0,DEUDA FLOTANTE
2004,203,2003,2339,,N,0.0,DEUDA FLOTANTE
2004,204,2003,2219,,N,167.0,deuda flotante
2004,204,2003,2176,,N,105.0,DEUDA FLOTANTE
2004,205,2003,2832,,N,117.0,DEUDA FLOTANTE
2004,206,2003,2386,,N,300.0,DEUDA FLOTANTE
2004,207,2003,2854,,N,129.0,DEUDA FLOTANTE
2004,196,2000,767,,N,121.0,
2004,199,2000,1903,,N,230.0,IMPRESION DE FORMULARIO OFICINA DE PERSONAL
2004,26,2003,1651,,N,200.0,DEUDA FLOTANTE
2004,216,2003,2861,,N,400.0,DEUDA FLOTANTE
2004,3,2003,2427,,N,171.0,Combustisble Accion Social
2004,3,2003,2105,,N,715.0,Aceite para Corralon
2004,3,2003,1144,,N,184.0,Cambio Aceite Accion Social
2004,3,2003,92,,N,150.5,Filtros de aceite Ducato accion social
2004,217,2001,31,,N,156.0,"Turbos  para Of Contaduria, Tesoreria y Despacho"
2004,208,2003,2412,,N,150.0,Publicidad Fiesta Talar
2004,50076,2003,1004,,N,26.71,DEUDA FLOTANTE EXPEDIENTE 1004/03
2004,50076,2003,1341,,N,181.23,DEUDA FLOTANTE
2004,181,2002,512,,N,0.0,Pasajes Accion social
2004,198,2000,276,,N,138.87,DEUDA FLOTANTE
2004,201,2003,2438,,N,337.5,DEUDA FLOTANTE
