EJERCICIO,NRO_OP,NRO_REG_COMP,TIPO_COMPROB,NRO_COMPROB,COD_PROV,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,IMPORTE_IMPUT
2026,1271,1094,FAB,0006-00000826,2627,131,2,1,1,0,1110104000,16,0,0,24100.0
2026,1272,899,FAB,0006-00000823,2627,131,2,1,1,0,1110104000,16,0,0,33000.0
2026,1273,1636,FAC,0001-00000014,3454,131,3,4,9,0,1110106000,44,0,0,710717.6
2026,1274,979,FAB,0006-00000825,2627,131,2,1,1,0,1110104000,16,0,0,30000.0
2026,1275,983,FAB,0006-00000824,2627,131,2,1,1,0,1110104000,16,0,0,28000.0
2026,1276,1296,FAB,0006-00000828,2627,131,2,1,1,0,1110104000,16,0,0,6500.0
2026,1277,1304,FAB,0006-00000829,2627,131,2,1,1,0,1110104000,16,0,0,26000.0
2026,1278,1306,FAB,0006-00000830,2627,131,2,1,1,0,1110104000,16,0,0,24100.0
2026,1279,910,FAC,0003-00000366,1810,131,3,3,2,0,1110104000,16,0,0,100000.0
2026,1280,1365,FAC,0003-00000368,1810,131,3,3,3,0,1110104000,16,0,0,200000.0
2026,1281,1116,FAC,0002-00000217,41,110,3,6,9,0,1110105000,50,0,0,1700000.0
2026,1282,1108,FAB,0005-00001960,19,132,2,9,9,0,1110106000,43,0,0,934.0
2026,1282,1108,FAB,0005-00001960,19,132,2,7,5,0,1110106000,43,0,0,12000.0
2026,1283,1263,FAB,0006-00000827,2627,131,2,1,1,0,1110104000,16,0,0,17600.0
2026,1285,1457,FAB,0006-00000831,2627,131,2,1,1,0,1110104000,16,0,0,26000.0
2026,1287,990,FAC,0002-00000052,3534,110,3,4,6,0,1110105000,30,0,0,832000.0
2026,1288,1898,FAB,2024-00000287,50072,110,3,9,9,0,1110117000,34,0,0,47100.0
2026,1289,185,FAC,0001-00000333,3529,132,3,2,1,0,1110109000,48,0,0,400000.0
2026,1291,1903,COM,0000-01300000,50003,110,3,7,2,0,1110105000,30,0,0,180000.0
2026,1292,1713,FAC,0001-00000105,2843,132,5,1,4,0,1110106000,42,0,0,2187500.0
2026,1293,1717,FAB,0006-00000364,2958,131,2,1,1,0,1110104000,16,0,0,310500.0
2026,293,675,FAB,0007-02444123,2969,110,3,1,4,0,1110102000,1,0,0,1134219.27
2026,294,676,FAB,2465-56634916,50002,110,3,1,4,0,1110102000,1,0,0,34065.78
2026,295,275,FAB,0003-00002843,3395,110,2,9,3,0,1110118000,46,0,0,20000.0
2026,295,275,FAB,0003-00002843,3395,110,2,9,6,0,1110118000,46,0,0,315000.0
2026,296,171,FAB,0006-00000818,2627,131,2,1,1,0,1110104000,16,0,0,40800.0
2026,297,203,FAB,0006-00000816,2627,131,2,1,1,0,1110104000,16,0,0,30000.0
