ANIO_PRESUP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,CODIGO_META,CODIGO_UM,CANT_EJECUTADO,CANT_ESTIMADO,CANT_PROGRAMADO,CODIGO_PRESTAMO
2012,1110103000,19,0,0,3,4,700,740,800,
2012,1110103000,20,0,0,4,7,400,400,400,
2012,1110103000,21,0,0,8,1,3600,3600,3600,
2012,1110103000,22,0,0,7,6,1000,1000,1000,
2012,1110109000,28,0,0,15,14,3000,4800,6000,
2012,1110108000,29,0,0,13,12,0,0,5000,
2012,1110110000,30,0,0,13,12,4000,5000,6000,
2012,1110106000,24,0,0,9,8,6000,6000,12000,
2012,1110106000,25,0,0,9,8,180,180,180,
2012,1110105000,27,0,0,26,25,45,45,45,
2012,1110104000,16,0,0,2,2,200000,260000,360000,
2012,1110105000,27,0,0,27,10,200,200,200,
2012,1110105000,27,0,0,28,10,1000,1000,1000,
2012,1110105000,27,0,0,9,8,100,100,100,
2012,1110113000,31,0,0,31,28,0,0,40,
2012,1110113000,43,0,0,23,22,12,12,12,
2012,1110104000,17,0,0,12,11,10000,10000,10000,
2012,1110109000,46,0,0,24,23,30,30,40,
2012,1110113000,42,0,0,25,24,400,400,600,
2012,1110102000,33,0,0,13,12,1000,1000,1000,
2012,1110103000,45,0,0,29,26,720,720,720,
2012,1110103000,26,0,0,30,27,400000,400000,420000,
2012,1110113000,32,0,0,32,29,0,0,4000,
2012,1110112000,33,0,0,33,30,2000,2000,2000,
2012,1110106000,42,0,0,9,8,2000,2000,2000,
2012,1110104000,62,0,0,34,31,9,12,12,
2012,1110113000,47,0,0,35,32,4,4,4,
2013,1110112000,33,0,0,33,30,2000,2000,2000,
2013,1110105000,27,0,0,28,10,1000,1000,1000,
2013,1110105000,27,0,0,27,10,200,200,200,
2013,1110105000,27,0,0,26,25,45,45,48,
2013,1110105000,27,0,0,9,8,100,100,100,
2013,1110105000,27,0,0,22,21,85,85,100,
2013,1110105000,27,0,0,21,20,26,26,28,
2013,1110105000,27,0,0,20,19,14,14,28,
2013,1110105000,27,0,0,19,18,26,26,36,
2013,1110105000,27,0,0,18,17,30,30,40,
2013,1110105000,27,0,0,15,14,8000,8000,8000,
2013,1110104000,16,0,0,2,2,260000,360000,450000,
2013,1110104000,62,0,0,34,31,12,12,18,
2013,1110104000,17,0,0,12,11,10000,10000,10000,
2013,1110108000,29,0,0,13,12,0,0,6000,
2013,1110110000,30,0,0,38,33,1550,1750,1900,
2013,1110110000,30,0,0,39,34,2700,3200,3300,
2013,1110110000,30,0,0,40,35,650,500,800,
2013,1110110000,30,0,0,41,37,30000,27000,40000,
2013,1110106000,24,0,0,9,8,6000,6000,3000,
