ANIO_PRESUP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,FECHA_REGIS,DESCRIPCION1,DESCRIPCION2,DESCRIPCION3,DESCRIPCION4,DESCRIPCION5,DESCRIPCION6
2007,1110110000,30,0,0,2006-10-04 08:32:42,"PROMOCIONAMOS EL TURISMO POSICIONANDO A MADARIAGA COMO UN CENTRO TURISTICO DE EXCURSION.
SEGUIREMOS CONSOLIDANDO LOS DISTINTOS PRODUCTOS TURISTICOS QUE MADARIAGA TIENE PARA OFRECER Y DESARROLLAR PARA QUE MADARIAGA SE CONVIERTA EN UN CENTRO TURISTICO DE ESTADIA.",,,,,
2007,1110103000,18,0,0,2006-10-31 08:26:48,"SE REALIZA EL MANTENIMIENTO Y MEJORADO DE LAS CALLES DEL CASCO URBANO. 
CONTROL Y GESTION DE LAS OBRAS PARTICULARES.
CONTROL Y GESTION DEL CATASTRO URBANO Y RURAL DEL PARTIDO.
DESMALEZAMIENTO DE ESPACIOS PUBLICOS, REPARACION DE CALZADAS, BACHEO, REPARACION Y MANTENIMIENTO DE MAQUINAS MUNICIPALES.
LIMPIEZA DE CANALES PLUVIALES DE LA CIUDAD, BOCAS DE TORMENTA.
",,,,,
2007,1110103000,19,0,0,2006-10-04 08:32:42,"BRINDAMOS EL SERVICIO DE ALUMBRADO A LA CIUDAD, REPOSICION DE LAMPARAS E INSTALACION DE NUEVAS LUMINARIAS DE IODO Y VAPOR DE MERCURIO.",,,,,
2007,1110103000,20,0,0,2006-10-04 08:32:42,"SE PROVEE ESPACIO PARA LA INHUMACION, MANTENIMIENTO  DE LAS INSTALACIONES, CONSTRUCCION DE NUEVOS NICHOS Y SERVICIOS COMUNES.
CONSERVACION DE LOS ESPACIOS VERDES COMUNES, CONTROL DE PLAGAS Y REDUCCIONES.
",,,,,
2007,1110103000,21,0,0,2006-10-04 08:32:42,"REALIZAMOS LA RECOLECCION Y DISPOSICION FINAL DE RESIDUOS SOLIDOS URBANOS. SE REALIZA LA RECOLECCION DE RESIDUOS NO DOMICILIARIOS COMO TIERRA, RAMAS, ESCOMBROS, ETC.",,,,,
2007,1110103000,22,0,0,2006-10-04 08:32:42,REALIZAMOS EL BARRIOD MANUAL DE LAS CALLES PAVIMENTADAS Y ESPACIOS PUBLICOS COMUNITARIOS.,,,,,
2007,1110109000,28,0,0,2006-10-04 08:32:42,"MEDIANTE LA PROMOCION DEL DEPORTE LOGRAMOS MEJORAR LA FORMACION EDUCATIVA Y CULTURAL DE LOS INDIVIDUOS INDEPENDIENTEMENTE DE LAS CONNOTACIONES O RESULTADOS DEPORTIVOS.
CENTRAMOS NUESTRO TRABAJO UTILIZANDO EL DEPORTE COMO HERRAMIENTA EDUCATIVA EN LA EDUCACION DEL INDIVIDUO Y COMO ELEMENTO DE INTEGRACION SOCIAL Y MEJORAMIENTO DE LA SOCIEDAD EN SU CONJUNTO.
",,,,,
2007,1110106000,24,0,0,2006-10-04 09:04:06,"ASISTIMOS A LAS FAMILIAS POR DEBAJO DE LA LINEA DE LA POBREZA.
BRINDAMOS ASISTENCIA ALIMENTARIA, EN SALUD, TRANSPORTE Y MEJORAMIENTO DE VIVIENDAS PRECARIAS.
REALIZAMOS TRAMITES ANTE LOS ORGANISMOS CORRESPONDIENTES A FIN DE FACILITAR EL ACCESO A BENEFICIOS SOCIALES DE LA POBLACION.
TRABAJAMOS EN COORDINACION CON LA JUSTICIA, CON LA POLICIA COMUNAL Y CON LA SECRETARIA DE SALUD EN MATERIA DE VIOLENCIA FAMILIAR Y CHICOS DE LA CALLE.
REALIZAMOS ATENCION A LA PROBLEMATICA DE LAS ADICCIONES EN UN TRABAJO COORDINADO CON LA SECRETARIA DE SALUD.
",,,,,
2007,1110106000,25,0,0,2006-10-04 09:05:01,"RECEPCIONAMOS NIÑOS QUE NO CONCURREN A ESTABLECIMIENTOS PREESCOLARES BRINDANDO ATENCION Y DANDO PRIORIDAD A LAS FAMILIAS CUYOS PADRES TRABAJAN Y QUE NO CUENTAN CON POSIBILIDADES DE HACER FRENTE A SERVICIOS PRIVADOS.
BRINDAMOS ATENCION A LA NIÑEZ EN UN MARCO LUDICO-EDUCATIVO.",,,,,
2007,1110102000,42,0,0,2006-10-04 08:32:42,"SERVICIO DE APOYO PARA OPTIMIZAR EL FUNCIONAMIENTO DE LOS SERVICIOS DE SEGURIDAD EN NUESTRO DISTRITO.
REPARACION DE MOVILES, PROVISION DE COMBUSTIBLES Y LUBRICANTES Y DEMAS ELEMENTOS E INSUMOS PARA EL FUNCIONAMIENTO DE LA POLICIA COMUNAL.",,,,,
2007,1110104000,16,0,0,2006-10-04 08:32:42,"SE BRINDA ATENCION A LA SALUD DE LA POBLACION TANTO PRIMARIA DESDE LOS CENTROS DE ATENCION PRIMARIA DE LA SALUD EN LOS BARRIOS COMO DESDE EL HOSPITAL EN LOS CASOS MAS COMPLEJOS O DE INTERNACION 
SE REALIZAN CAMPAÑAS DE PREVENCION Y EDUCACION EN MATERIA DE SALUD PARA LA POBLACION",,,,,
