EJERCICIO,TIPO,NRO_COMPROB,COD_PROV,NRO_REG_COMP,FECH_MOVIM,FECH_COMPROB,FECH_VENCIM,FECH_CONFORMAC,PORC_BONIF,FECH_BONIF,IMPORTE_COMPR,IMPORTE_PAGADO,RINDE_IVA,PORC_IVA,PORC_CRED_FISCAL,LIST_LIBRO_IVA,FECH_LIST_IVA,COD_PROV_REAL,RAZON_SOCIAL,CUIT,DETALLE,IMPORTE_SIN_IVA
2026,FAC,0001-00000014,3470,570,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,0.0,,1051196.0,1051196.0,N,21.0,0.0,0,,,,  -        -,,1051196.0
2026,FAC,0001-00000084,3439,515,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,0.0,,680956.8,680956.8,N,21.0,0.0,0,,,,  -        -,,680956.8
2026,FAB,0003-00006005,441,36,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,0.0,,15387000.0,15387000.0,N,21.0,0.0,0,,,,  -        -,,12716528.92
2026,FAB,0003-00006006,441,36,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,0.0,,1115280.0,1115280.0,N,21.0,0.0,0,,,,  -        -,,921719.0
2026,FAB,0003-00006007,441,36,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,0.0,,804800.0,804800.0,N,21.0,0.0,0,,,,  -        -,,665123.96
2026,FAB,0059-00002466,195,637,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,0.0,,307168.55,307168.55,N,21.0,0.0,0,,,,  -        -,,253858.3
2026,FAC,0002-00000715,1754,1039,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,0.0,,21000.0,21000.0,N,21.0,0.0,0,,,,  -        -,,21000.0
2026,FAC,0001-00000101,2843,371,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,0.0,,87000.0,87000.0,N,21.0,0.0,0,,,,  -        -,,87000.0
2026,FAC,0006-00000647,2454,868,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,0.0,,538400.0,538400.0,N,21.0,0.0,0,,,,  -        -,,538400.0
2026,FAB,0022-00014437,313,394,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,0.0,,2037.0,2037.0,N,21.0,0.0,0,,,,  -        -,,1683.47
2026,FAB,0022-00014429,313,232,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,0.0,,5885471.04,5885471.04,N,21.0,0.0,0,,,,  -        -,,4864025.65
2026,FAB,0022-00014430,313,234,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,0.0,,6408164.31,6408164.31,N,21.0,0.0,0,,,,  -        -,,5296003.56
2026,FAB,0022-00014432,313,233,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,0.0,,219396.69,219396.69,N,21.0,0.0,0,,,,  -        -,,181319.57
2026,FAB,0022-00014431,313,233,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,2026-02-06 00:00:00,0.0,,346678.65,346678.65,N,21.0,0.0,0,,,,  -        -,,286511.28
2026,COM,2024-00002210,50209,1320,2026-02-19 00:00:00,2026-02-19 00:00:00,2026-02-19 00:00:00,2026-02-19 00:00:00,0.0,,514271.19,155521.19,N,21.0,0.0,0,,,,  -        -,,514271.19
2026,COM,9862-01900002,50129,1321,2026-02-19 00:00:00,2026-02-19 00:00:00,2026-02-19 00:00:00,2026-02-19 00:00:00,0.0,,1625236.23,1625236.23,N,21.0,0.0,0,,,,  -        - ,,1625236.23
2026,COM,2024-18800001,50100,1322,2026-02-19 00:00:00,2026-02-19 00:00:00,2026-02-19 00:00:00,2026-02-19 00:00:00,0.0,,663126.5,663126.5,N,21.0,0.0,0,,,,  -        - ,,663126.5
2026,FAB,0011-00000706,822,1505,2026-03-03 00:00:00,2026-03-03 00:00:00,2026-03-03 00:00:00,2026-03-03 00:00:00,0.0,,424136.94,424136.94,N,21.0,0.0,0,,,,  -        -,,350526.39
2026,FAB,2485-56998513,50002,1671,2026-03-03 00:00:00,2026-03-03 00:00:00,2026-03-03 00:00:00,2026-03-03 00:00:00,0.0,,35151.65,35151.65,N,21.0,0.0,0,,,,  -        -,,29050.95
2026,FAB,7004-68677079,50023,1998,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,32402.32,32402.32,N,21.0,0.0,0,,,,  -        -,,26778.77
2026,FAC,0002-00000174,360,1277,2026-03-03 00:00:00,2026-03-03 00:00:00,2026-04-17 00:00:00,2026-03-03 00:00:00,0.0,,140000.0,140000.0,N,21.0,0.0,0,,,,  -        -,,140000.0
2026,FAB,0001-00002311,3324,1110,2026-03-03 00:00:00,2026-03-03 00:00:00,2026-03-03 00:00:00,2026-03-03 00:00:00,0.0,,164735.0,164735.0,N,21.0,0.0,0,,,,  -        -,,136144.62
2026,FAB,7004-68784185,50023,1992,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,27541.85,27541.85,N,21.0,0.0,0,,,,  -        -,,22761.85
2026,FAB,7004-68677078,50023,1998,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,41131.59,41131.59,N,21.0,0.0,0,,,,  -        -,,33993.04
2026,FAB,7004-68784187,50023,1992,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,32392.29,32392.29,N,21.0,0.0,0,,,,  -        -,,26770.48
2026,FAB,7004-68784163,50023,1992,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,26800.11,26800.11,N,21.0,0.0,0,,,,  -        -,,22148.85
2026,FAB,7004-68784159,50023,1992,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,23790.85,23790.85,N,21.0,0.0,0,,,,  -        -,,19661.85
2026,FAB,7004-68784158,50023,2014,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,23380.77,23380.77,N,21.0,0.0,0,,,,  -        -,,19322.95
2026,FAB,7004-68784181,50023,2010,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,24086.19,24086.19,N,21.0,0.0,0,,,,  -        -,,19905.94
2026,FAB,7004-68784182,50023,2010,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,35003.46,35003.46,N,21.0,0.0,0,,,,  -        -,,28928.47
2026,FAB,7004-68784171,50023,2014,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,24100.58,24100.58,N,21.0,0.0,0,,,,  -        -,,19917.83
2026,FAB,7004-68784143,50023,2014,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,23380.77,23380.77,N,21.0,0.0,0,,,,  -        -,,19322.95
2026,FAB,7004-68784142,50023,2014,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,23383.5,23383.5,N,21.0,0.0,0,,,,  -        -,,19325.2
2026,FAB,7004-68784153,50023,2014,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,23387.22,23387.22,N,21.0,0.0,0,,,,  -        -,,19328.28
2026,FAB,7004-68784183,50023,2014,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,23420.48,23420.48,N,21.0,0.0,0,,,,  -        -,,19355.76
2026,FAB,7004-68784186,50023,2019,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,23386.49,23386.49,N,21.0,0.0,0,,,,  -        -,,19327.67
2026,FAB,4264-53178415,50036,2017,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,122860.0,122860.0,N,21.0,0.0,0,,,,  -        -,,101537.19
2026,FAB,7004-68784191,50023,2018,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,24444.19,24444.19,N,21.0,0.0,0,,,,  -        -,,20201.8
2026,FAB,2022-50000061,50070,2022,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,120487.04,120487.04,N,21.0,0.0,0,,,,  -        - ,,99576.07
2026,FAC,0009-00000113,2538,168,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-04-30 00:00:00,2026-03-16 00:00:00,0.0,,156000.0,156000.0,N,21.0,0.0,0,,,,  -        -,,156000.0
2026,FAB,2022-50000062,50070,2023,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,16858033.1,16858033.1,N,21.0,0.0,0,,,,  -        - ,,13932258.76
2026,FAB,7004-68784193,50023,2025,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,23471.71,23471.71,N,21.0,0.0,0,,,,  -        -,,19398.1
2026,FAB,7004-68784192,50023,2025,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,28797.78,28797.78,N,21.0,0.0,0,,,,  -        -,,23799.81
2026,FAB,7004-68784169,50023,2025,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,398473.18,398473.18,N,21.0,0.0,0,,,,  -        -,,329316.67
2026,FAB,7004-68784167,50023,2036,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,42011.79,42011.79,N,21.0,0.0,0,,,,  -        -,,34720.48
2026,FAC,0001-00000286,3563,1793,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,0.0,,500000.0,500000.0,N,21.0,0.0,0,,,,  -        -,,500000.0
2026,FAB,0006-00000834,2627,1750,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-04-30 00:00:00,2026-03-16 00:00:00,0.0,,36000.0,36000.0,N,21.0,0.0,0,,,,  -        -,,29752.06
2026,FAB,0003-00007724,2159,3,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,2032800.0,2032800.0,N,21.0,0.0,0,,,,  -        -,,1680000.0
2026,COM,1100-01101109,708,298,2026-02-09 00:00:00,2026-02-09 00:00:00,2026-02-09 00:00:00,2026-02-09 00:00:00,0.0,,5247.0,5247.0,N,21.0,0.0,0,,,,  -        -,,5247.0
2026,FAB,0002-00000251,3003,47,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,3620000.0,3620000.0,N,21.0,0.0,0,,,,  -        -,,2991735.53
2026,FAB,0004-00001502,2133,919,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,1466327.01,1466327.01,N,21.0,0.0,0,,,,  -        -,,1211840.5
2026,FAB,0004-00001501,2133,919,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,1466327.01,1466327.01,N,21.0,0.0,0,,,,  -        -,,1211840.5
2026,FAB,0003-00002490,2654,921,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,442220.0,442220.0,N,21.0,0.0,0,,,,  -        -,,365471.07
2026,FAB,0003-00002462,2654,217,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,360439.95,360439.95,N,21.0,0.0,0,,,,  -        -,,297884.25
2026,FAB,0005-00001401,2883,1154,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,144428.6,144428.6,N,21.0,0.0,0,,,,  -        -,,119362.47
2026,FAB,0005-00001414,2883,1153,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,71547.3,71547.3,N,21.0,0.0,0,,,,  -        -,,59130.0
2026,FAB,0005-00001359,2883,1155,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,580875.9,580875.9,N,21.0,0.0,0,,,,  -        -,,480062.72
2026,FAB,0005-00001509,2883,97,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,149230.14,149230.14,N,21.0,0.0,0,,,,  -        -,,123330.69
2026,FAB,0005-00001525,2883,380,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,121859.1,121859.1,N,21.0,0.0,0,,,,  -        -,,100710.0
2026,FAB,0005-00001532,2883,562,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,762755.1,762755.1,N,21.0,0.0,0,,,,  -        -,,630376.11
2026,FAB,0005-00001533,2883,794,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,471223.48,471223.48,N,21.0,0.0,0,,,,  -        -,,389440.89
2026,FAB,0005-00001570,2883,1297,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,209462.06,209462.06,N,21.0,0.0,0,,,,  -        -,,173109.14
2026,FAC,0003-00000323,2548,1479,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,200000.0,200000.0,N,21.0,0.0,0,,,,  -        -,,200000.0
2026,FAB,0010-00000548,2869,1480,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,1310844.0,1310844.0,N,21.0,0.0,0,,,,  -        -,,1083342.14
2026,FAB,0010-00000550,2869,1482,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,1035798.99,1035798.99,N,21.0,0.0,0,,,,  -        -,,856032.22
2026,FAB,0002-00008870,1440,205,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,5797485.0,5797485.0,N,21.0,0.0,0,,,,  -        -,,4791309.91
2026,FAB,0002-00008901,1440,440,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,3553530.0,3553530.0,N,21.0,0.0,0,,,,  -        -,,2936801.65
2026,FAB,0002-00008920,1440,478,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,3775200.0,3775200.0,N,21.0,0.0,0,,,,  -        -,,3120000.0
2026,FAB,0002-00008932,1440,871,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,4242369.0,4242369.0,N,21.0,0.0,0,,,,  -        -,,3506090.08
2026,FAB,0011-00074205,866,402,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,1199527.4,1199527.4,N,21.0,0.0,0,,,,  -        -,,991344.95
2026,FAB,0011-00074206,866,402,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,1915056.22,1915056.22,N,21.0,0.0,0,,,,  -        -,,1582691.09
2026,FAB,0011-00074207,866,402,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,0.0,,956466.6,956466.6,N,21.0,0.0,0,,,,  -        -,,790468.26
