CODIGO,DESCRIPCION,TIPO_DEDUC,PORCENTAJE,SALDO,DECRIPCION_AB,CODIGO_AXT,EJERCICIO
19,"UPCN
",O,,0.0,UPCN,74020,2012
21,REINTEGROS,O,,0.0,REIN,74021,2012
22,OSDE,O,,0.0,OSDE,74022,2012
784,SUSS,I,2.0,0.0,SUSS.,74023,2012
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2012
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2012
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2012
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2013
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2013
7,Embargos,O,,0.0,EMBA,74003,2013
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2013
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2013
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2013
4,Garantia,O,,0.0,GARAN,71001,2013
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2013
5,"Sindicato
",O,,0.0,SIND,74009,2013
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2013
10,"APORTE PJ
",O,,0.0,PJ,74012,2013
11,"APORTE UCR
",O,,0.0,UCR,74011,2013
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2013
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2013
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2013
16,"F.O.S.
",O,,0.0,FOS,74013,2013
17,"PROCASA

",O,,0.0,PROC,74017,2013
18,"BANCO NACION
",O,,0.0,NACIO,74018,2013
20,"ATE
",O,,0.0,ATE,74019,2013
19,"UPCN
",O,,0.0,UPCN,74020,2013
21,REINTEGROS,O,,0.0,REIN,74021,2013
22,OSDE,O,,0.0,OSDE,74022,2013
784,SUSS,I,2.0,0.0,SUSS.,74023,2013
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2013
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2013
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2013
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2014
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2014
7,Embargos,O,,0.0,EMBA,74003,2014
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2014
