ANIO_PRESUP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,DESAGREGA,DENOMINACION,DENOMINACION_AB,CODIGO_UE,EJECUTADO,ESTIMADO,PROGRAMADO,CODIGO_PRESTAMO,FINALIDAD,FUNCION,SUBFUNCION,CREDITO_INIC,CREDITO_MODIF,PREVENTIVO,COMPROMISO,DEVENGADO,PAGADO,PPG,PPG_PORCEN
2021,1110103000,1,0,0,N,Conducción y Administración de la Secretaria de Obras y Servicios Públicos,Conducción,3,0.0,0.0,0.0,,3,9,1,26043188.4,0.0,2706942.58,0.0,55493464.67,0.0,,
2021,1110103000,51,93,0,N,Red de nexo cloacal Quintanilla-Ramon Carrillo,Red nexo cloacal,3,0.0,0.0,0.0,,3,8,0,1500000.0,0.0,1412732.34,0.0,1853282.32,0.0,,
2021,1110103000,51,91,0,N,Parque de la Estacion,Parque de la Estacion,3,0.0,0.0,0.0,,3,4,6,1000000.0,0.0,0.0,0.0,0.0,0.0,,
2025,1110106000,47,0,0,N,violencia masculina intrafamiliar,violencia masculina intra,7,0.0,0.0,0.0,,3,2,0,5900000.0,0.0,0.0,0.0,0.0,0.0,,
2021,1110111000,23,0,0,N,Conservación y Mejorado de Caminos Rurales,Conservación de Caminos,3,0.0,0.0,0.0,,4,3,0,35963034.0,0.0,36210378.07,0.0,50462647.01,0.0,,
2021,1110106000,24,0,0,N,Desarrollo Social,Desarrollo Social,7,0.0,0.0,0.0,,3,2,0,44366996.0,0.0,29009269.4,0.0,48823636.07,0.0,,
2021,1110106000,25,0,0,N,Desarrollo Infantil,Desarrollo Infanitl,7,0.0,0.0,0.0,,3,4,2,8348856.0,0.0,389454.45,0.0,8868310.25,0.0,,
2021,1110103000,51,99,6,N,Asfalto Jardin Maternal Barrio Belgrano,Acceso Jardin Maternal,3,0.0,0.0,0.0,,3,4,2,3400000.0,0.0,0.0,0.0,0.0,0.0,,
2021,1110109000,28,0,0,N,Promoción del Deporte,Promoción del Deporte,13,0.0,0.0,0.0,,3,4,2,14656706.12,0.0,4097121.29,0.0,19844173.21,0.0,,
2021,1110108000,29,0,0,N,Estimulación Para el Desarrollo de la Producción y el empleo,Producción,14,0.0,0.0,0.0,,4,5,0,8240961.55,0.0,1590062.12,0.0,8272275.1,0.0,,
2021,1110107000,93,0,0,N,Deuda Flotante,Deuda Flotante,2,0.0,0.0,0.0,,5,1,0,21889514.0,0.0,0.0,0.0,27245028.72,27245028.72,,
2021,1110110000,30,0,0,N,Fomento y Promoción del Turismo,Promoción del Turismo,12,0.0,0.0,0.0,,4,7,0,0.0,0.0,0.0,0.0,0.0,0.0,,
2021,1110107000,91,0,0,N,Devolución de Tributos,Devolución de Tributos,2,0.0,0.0,0.0,99998,5,1,0,10000.0,0.0,0.0,0.0,0.0,0.0,,
2021,1110103000,51,0,0,S,PLAN DE OBRAS MUNICIPALES,PLAN DE OBRAS MUNICIPALES,3,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
