COD_PROV,COD_IMP,COD_ACTIV,COEF_CONV_MULTI
239,IVA,RESPO,1.0
241,GANAN,VTABI,1.0
241,IVA,RESPO,1.0
242,GANAN,VTABI,1.0
50082,INGBR,EXENT,1.0
242,IVA,RESPO,1.0
243,GANAN,VTABI,1.0
243,IVA,RESPO,1.0
50081,GANAN,EXENT,1.0
50081,INGBR,EXENT,1.0
50081,IVA,EXENT,1.0
201,GANAN,EXENT,1.0
50082,GANAN,EXENT,1.0
50082,IVA,EXENT,1.0
50083,GANAN,EXENT,1.0
50083,INGBR,EXENT,1.0
50083,IVA,EXENT,1.0
246,GANAN,VTABI,1.0
246,IVA,RESPO,1.0
248,GANAN,VTABI,1.0
248,IVA,RESPO,1.0
250,GANAN,VTABI,1.0
250,IVA,RESPO,1.0
251,IVA,RESPO,1.0
252,GANAN,SERVI,1.0
252,IVA,RESPO,1.0
50084,GANAN,EXENT,1.0
50084,INGBR,EXENT,1.0
50084,IVA,EXENT,1.0
253,GANAN,VTABI,1.0
253,IVA,RESPO,1.0
255,GANAN,VTABI,1.0
255,IVA,RESPO,1.0
256,IVA,EXENT,1.0
256,GANAN,SERVI,1.0
257,GANAN,VTABI,1.0
257,IVA,RESPO,1.0
258,IVA,RESPO,1.0
260,GANAN,SERVI,1.0
260,IVA,RESPO,1.0
262,GANAN,VTABI,1.0
262,IVA,EXENT,1.0
263,GANAN,VTABI,1.0
263,IVA,RESPO,1.0
50085,GANAN,EXENT,1.0
50085,INGBR,EXENT,1.0
50085,IVA,EXENT,1.0
266,GANAN,VTABI,1.0
268,GANAN,VTABI,1.0
268,IVA,RESPO,1.0
193,GANAN,EXENT,1.0
193,IVA,EXENT,1.0
269,GANAN,VTABI,1.0
269,IVA,RESPO,1.0
50086,GANAN,EXENT,1.0
50086,INGBR,EXENT,1.0
50086,IVA,EXENT,1.0
270,GANAN,SERVI,1.0
270,IVA,RESPO,1.0
272,GANAN,VTABI,1.0
272,IVA,RESPO,1.0
274,GANAN,VTABI,1.0
273,IVA,RESPO,1.0
273,GANAN,VTABI,1.0
274,IVA,RESPO,1.0
275,GANAN,VTABI,1.0
275,IVA,RESPO,1.0
276,GANAN,VTABI,1.0
276,IVA,RESPO,1.0
277,GANAN,VTABI,1.0
277,IVA,RESPO,1.0
278,GANAN,SERVI,1.0
278,IVA,RESPO,1.0
279,GANAN,VTABI,1.0
279,IVA,RESPO,1.0
1241,INGBR,A122R,1.0
50087,GANAN,EXENT,1.0
50087,INGBR,EXENT,1.0
50087,IVA,EXENT,1.0
285,GANAN,VTABI,1.0
285,IVA,RESPO,1.0
287,GANAN,EXENT,1.0
287,IVA,EXENT,1.0
288,GANAN,VTABI,1.0
288,IVA,RESPO,1.0
289,GANAN,VTABI,1.0
289,IVA,RESPO,1.0
291,GANAN,VTABI,1.0
291,IVA,RESPO,1.0
292,GANAN,VTABI,1.0
292,IVA,RESPO,1.0
293,GANAN,VTABI,1.0
293,IVA,RESPO,1.0
294,GANAN,SERVI,1.0
294,IVA,RESPO,1.0
1242,INGBR,A122R,1.0
297,GANAN,VTABI,1.0
297,IVA,RESPO,1.0
50088,GANAN,EXENT,1.0
50088,INGBR,EXENT,1.0
50088,IVA,EXENT,1.0
50089,GANAN,EXENT,1.0
50089,INGBR,EXENT,1.0
50089,IVA,EXENT,1.0
5090,GANAN,EXENT,1.0
5090,INGBR,EXENT,1.0
5090,IVA,EXENT,1.0
50090,GANAN,EXENT,1.0
50090,INGBR,EXENT,1.0
50090,IVA,EXENT,1.0
298,GANAN,VTABI,1.0
298,IVA,RESPO,1.0
300,GANAN,VTABI,1.0
1243,INGBR,A122R,1.0
50091,GANAN,EXENT,1.0
50091,INGBR,EXENT,1.0
50091,IVA,EXENT,1.0
301,GANAN,VTABI,1.0
301,IVA,RESPO,1.0
50092,GANAN,EXENT,1.0
50092,INGBR,EXENT,1.0
50092,IVA,EXENT,1.0
302,GANAN,VTABI,1.0
302,IVA,RESPO,1.0
303,GANAN,SERVI,1.0
303,IVA,RESPO,1.0
50093,GANAN,EXENT,1.0
50093,INGBR,EXENT,1.0
50093,IVA,EXENT,1.0
304,GANAN,VTABI,1.0
304,IVA,RESPO,1.0
251,GANAN,EXENT,1.0
50094,GANAN,EXENT,1.0
50094,GANAN,HONOR,1.0
50095,GANAN,EXENT,1.0
50095,GANAN,HONOR,1.0
50096,GANAN,EXENT,1.0
50096,GANAN,HONOR,1.0
50001,GANAN,EXENT,1.0
50001,INGBR,EXENT,1.0
308,GANAN,SERVI,1.0
308,IVA,RESPO,1.0
309,GANAN,SERVI,1.0
309,IVA,RESPO,1.0
311,GANAN,VTABI,1.0
311,IVA,RESPO,1.0
50097,GANAN,EXENT,1.0
50097,INGBR,EXENT,1.0
50097,IVA,EXENT,1.0
1244,INGBR,A122R,1.0
1245,INGBR,A122R,1.0
1246,INGBR,A122R,1.0
1247,INGBR,A122R,1.0
1248,INGBR,A122R,1.0
1249,INGBR,A122R,1.0
1250,INGBR,A122R,1.0
1251,INGBR,A122R,1.0
1252,INGBR,A122R,1.0
1253,INGBR,A122R,1.0
1254,INGBR,A122R,1.0
1255,INGBR,A122R,1.0
1256,INGBR,A122R,1.0
1257,INGBR,A122R,1.0
1258,INGBR,A122R,1.0
1259,INGBR,A122R,1.0
1260,INGBR,A122R,1.0
1261,INGBR,A122R,1.0
1262,INGBR,A122R,1.0
1263,INGBR,A122R,1.0
1264,INGBR,A122R,1.0
1265,INGBR,A122R,1.0
1266,INGBR,A122R,1.0
1267,INGBR,A122R,1.0
1268,INGBR,A122R,1.0
1269,INGBR,A122R,1.0
1270,INGBR,A122R,1.0
1271,INGBR,A122R,1.0
1272,INGBR,A122R,1.0
1273,INGBR,A122R,1.0
1274,INGBR,A122R,1.0
1275,INGBR,A122R,1.0
1276,INGBR,A122R,1.0
1277,INGBR,A122R,1.0
1278,INGBR,A122R,1.0
1279,INGBR,A122R,1.0
1280,INGBR,A122R,1.0
1281,INGBR,A122R,1.0
1282,INGBR,A122R,1.0
1283,INGBR,A122R,1.0
1284,INGBR,A122R,1.0
1285,INGBR,A122R,1.0
1286,INGBR,A122R,1.0
1287,INGBR,A122R,1.0
1288,INGBR,A122R,1.0
1289,INGBR,A122R,1.0
1290,INGBR,A122R,1.0
1291,INGBR,A122R,1.0
1292,INGBR,A122R,1.0
1293,INGBR,A122R,1.0
1294,INGBR,A122R,1.0
1295,INGBR,A122R,1.0
1296,INGBR,A122R,1.0
1297,INGBR,A122R,1.0
1298,INGBR,A122R,1.0
1299,INGBR,A122R,1.0
1300,INGBR,A122R,1.0
1301,INGBR,A122R,1.0
1302,INGBR,A122R,1.0
1303,INGBR,A122R,1.0
1304,INGBR,A122R,1.0
1305,INGBR,A122R,1.0
1306,INGBR,A122R,1.0
1307,INGBR,A122R,1.0
1308,INGBR,A122R,1.0
1309,INGBR,A122R,1.0
1310,INGBR,A122R,1.0
1311,INGBR,A122R,1.0
1312,INGBR,A122R,1.0
1313,INGBR,A122R,1.0
1314,INGBR,A122R,1.0
1315,INGBR,A122R,1.0
1316,INGBR,A122R,1.0
1317,INGBR,A122R,1.0
1318,INGBR,A122R,1.0
1319,INGBR,A122R,1.0
1320,INGBR,A122R,1.0
1321,INGBR,A122R,1.0
1322,INGBR,A122R,1.0
1323,INGBR,A122R,1.0
1324,INGBR,A122R,1.0
1325,INGBR,A122R,1.0
1326,INGBR,A122R,1.0
1328,INGBR,A122R,1.0
1329,INGBR,A122R,1.0
1330,INGBR,A122R,1.0
1331,INGBR,A122R,1.0
1332,INGBR,A122R,1.0
1333,INGBR,A122R,1.0
831,GANAN,VTABI,1.0
831,IVA,RNINS,1.0
831,SUSS,APATR,1.0
50220,GANAN,EXENT,1.0
50220,INGBR,EXENT,1.0
50220,IVA,EXENT,1.0
50220,SUSS,EXENT,1.0
832,IVA,RESPO,1.0
832,SUSS,APATR,1.0
832,GANAN,VTABI,1.0
833,SUSS,EXENT,1.0
834,GANAN,VTABI,1.0
834,IVA,RESPO,1.0
834,SUSS,APATR,1.0
835,GANAN,VTABI,1.0
