EJERCICIO,COD_INGRESO,ORDEN,PORCENTAJE,TIPO_INGRESO,TIPO,CLASE,CONCEPTO,SUBCONCEPTO,CODIGO_AXT,JURISDICCION,CUENTA
2009,47,1,100.0,P,12,1,14,0,,1110112000,111210101
2009,49,1,100.0,P,12,1,17,2,,1110112000,111210101
2009,37,2,20.0,E,,,,,73023,,111210101
2009,48,1,100.0,P,12,1,20,0,,1110112000,111210101
2009,50,1,100.0,P,12,1,16,0,,1110112000,111210101
2009,51,1,75.0,P,12,1,21,0,,1110112000,111210101
2009,51,2,25.0,E,,,,,73021,,111210115
2009,52,1,50.0,P,12,1,16,0,,1110112000,111210101
2009,52,2,50.0,E,,,,,71010,,111210101
2009,53,1,100.0,P,12,1,19,1,,1110112000,111210101
2009,54,1,100.0,P,12,2,1,0,,1110112000,111210101
2009,55,1,100.0,P,12,2,12,0,,1110112000,111210101
2009,56,1,100.0,E,,,,,73003,,111210101
2009,57,1,100.0,P,12,6,6,0,,1110112000,111210101
2009,58,1,100.0,P,17,5,1,19,,1110112000,111220100
2009,59,1,100.0,P,12,2,11,0,,1110112000,111210101
2009,98,2,45.0,E,,,,,71012,,111221000
2009,60,1,100.0,P,12,2,5,0,,1110112000,111210101
2009,61,1,100.0,P,12,1,17,1,,1110112000,111210107
2009,62,1,100.0,P,12,2,5,0,,1110112000,111210101
2009,64,1,100.0,P,12,1,5,1,,1110112000,111210101
2009,65,1,100.0,P,12,1,19,1,,1110112000,111220100
2009,63,1,100.0,P,12,6,1,0,,1110112000,111210101
2009,66,1,50.0,P,12,6,1,0,,1110112000,111210101
2009,66,2,50.0,E,,,,,71008,,111210111
2009,67,1,100.0,E,,,,,71005,,111210111
2009,68,1,100.0,P,12,1,4,0,,1110112000,111210101
2009,69,1,100.0,P,12,9,2,0,,1110112000,111210101
2009,70,1,100.0,P,11,4,2,0,,1110112000,111210101
2009,71,1,100.0,P,12,1,17,3,,1110112000,111210101
2009,72,1,100.0,E,,,,,74018,,111210124
2009,2,1,100.0,P,12,2,10,1,,1110112000,111210101
2009,73,1,100.0,P,12,2,5,0,,1110112000,111210101
2009,74,1,100.0,P,12,1,2,0,,1110112000,111210101
2009,75,1,100.0,P,12,1,18,0,,1110112000,111210101
2009,76,1,100.0,E,,,,,71999,,111210101
2009,77,1,100.0,P,12,1,14,0,,1110112000,111210101
2009,78,1,100.0,P,12,9,2,0,,1110112000,111210101
2009,79,1,100.0,P,12,2,5,0,,1110112000,111210101
2009,92,1,100.0,P,11,4,4,0,,1110112000,111210101
2009,85,1,100.0,P,17,5,1,2,,1110112000,111210101
2009,91,1,100.0,P,11,4,5,0,,1110112000,111210113
2009,80,1,100.0,P,12,1,5,1,,1110112000,111210101
2009,81,1,100.0,P,12,1,5,2,,1110112000,111210101
2009,82,1,25.0,P,12,1,3,1,,1110112000,111210101
2009,82,2,75.0,P,12,1,3,3,,1110112000,111220900
2009,83,1,25.0,P,12,1,3,2,,1110112000,111210101
2009,83,2,75.0,P,12,1,3,4,,1110112000,111220900
2009,84,1,85.0,P,12,1,25,1,,1110112000,111210101
2009,84,2,15.0,P,12,1,25,2,,1110112000,111210101
2009,86,1,100.0,P,12,1,3,2,,1110112000,111210101
2009,87,1,100.0,P,12,1,15,0,,1110112000,111210101
2009,13,1,100.0,P,12,2,10,2,,1110112000,111210101
2009,1,1,100.0,E,,,,,73003,,111210101
2009,3,1,100.0,P,12,2,11,0,,1110112000,111210101
2009,4,1,100.0,P,12,1,17,4,,1110112000,111210101
2009,5,1,100.0,P,12,1,17,11,,1110112000,111210101
2009,6,1,100.0,P,12,1,17,5,,1110112000,111210101
2009,7,1,100.0,P,12,1,17,6,,1110112000,111210101
2009,8,1,100.0,P,12,1,17,7,,1110112000,111210101
2009,9,1,100.0,P,12,1,17,10,,1110112000,111210101
2009,10,1,100.0,P,12,1,17,8,,1110112000,111210101
2009,11,1,100.0,P,12,1,17,3,,1110112000,111210101
2009,12,1,100.0,P,12,1,17,9,,1110112000,111210101
2009,14,1,100.0,P,12,6,2,0,,1110112000,111210101
2009,94,1,100.0,P,33,1,2,0,,1110112000,111210101
2009,97,1,100.0,P,33,1,1,0,,1110112000,111210101
2009,216,1,100.0,P,16,2,3,0,,1110112000,111210101
2009,220,1,100.0,P,14,1,1,0,,1110112000,111210101
2009,226,1,100.0,P,17,2,1,1,,1110112000,111210101
2009,229,1,100.0,P,17,5,1,10,,1110112000,111210101
2009,232,1,100.0,P,12,6,8,0,,1110112000,111210101
2009,233,1,100.0,P,12,9,4,0,,1110112000,111210101
2009,225,1,100.0,P,12,9,3,0,,1110112000,111210101
2009,234,1,100.0,P,12,1,1,2,,1110112000,111210101
2009,235,1,100.0,E,,,,,72007,,111210101
2009,236,1,50.0,P,12,9,2,0,,1110112000,111210101
2009,236,2,50.0,E,,,,,72002,,111210101
2009,237,1,100.0,P,12,1,1,1,,1110112000,111210101
2009,238,1,100.0,P,12,2,8,0,,1110112000,111210101
2009,239,1,100.0,P,17,5,1,20,,1110112000,111210107
2009,16,1,100.0,P,12,1,3,3,,1110112000,111210101
2010,213,1,100.0,P,11,4,1,0,,1110112000,111210113
2010,214,1,100.0,P,11,4,3,1,,1110112000,111210114
2010,215,1,100.0,P,11,4,3,4,,1110112000,111210115
2010,217,1,100.0,P,17,5,1,4,,1110112000,111220100
2010,218,1,100.0,P,11,4,3,2,,1110112000,111220400
2010,219,1,100.0,P,11,9,1,0,,1110112000,111210113
2010,221,1,100.0,P,17,5,1,8,,1110112000,111220100
2010,222,1,100.0,P,17,5,1,5,,1110112000,111220100
2010,223,1,100.0,P,17,5,1,13,,1110112000,111220100
2010,227,1,100.0,P,17,5,1,11,,1110112000,111220100
2010,228,1,100.0,P,17,5,1,12,,1110112000,111220100
2010,224,1,100.0,P,17,5,1,14,,1110112000,111220700
2010,230,1,100.0,P,17,5,1,15,,1110112000,111220100
2010,231,1,100.0,P,17,5,1,6,,1110112000,111220100
2010,98,1,55.0,P,12,2,3,0,,1110112000,111210124
2010,32,1,100.0,P,17,5,1,16,,1110112000,111220100
2010,33,1,50.0,P,12,6,1,0,,1110112000,111210101
2010,33,2,10.0,E,,,,,71005,,111210111
2010,33,3,20.0,E,,,,,71006,,111210111
2010,33,4,5.0,E,,,,,71008,,111210111
2010,33,5,15.0,E,,,,,71007,,111210111
2010,34,1,100.0,P,12,6,1,0,,1110112000,111210101
2010,96,3,80.0,P,12,6,5,0,,1110112000,111210101
2010,95,1,100.0,P,12,6,5,0,,1110112000,111210112
2010,90,1,100.0,E,,,,,71999,,111210122
2010,89,1,100.0,P,17,5,1,18,,1110112000,111220100
2010,93,1,100.0,P,37,5,2,1,,1110112000,111210113
2010,15,1,100.0,P,12,2,10,3,,1110112000,111210123
2010,35,1,100.0,P,17,5,1,19,,1110112000,111220100
2010,36,1,100.0,P,17,5,1,8,,1110112000,111220100
2010,37,1,80.0,P,12,1,6,0,,1110112000,111210124
2010,38,1,100.0,P,12,1,6,0,,1110112000,111210124
2010,96,2,20.0,E,,,,,71011,,111210112
2010,39,1,100.0,P,12,1,23,0,,1110112000,111210101
2010,40,1,100.0,P,12,2,3,0,,1110112000,111210101
2010,41,1,100.0,P,12,2,2,0,,1110114000,111210101
2010,43,1,55.0,P,12,1,19,2,,1110112000,111210101
2010,42,1,100.0,P,17,5,1,1,,1110112000,111210101
2010,44,1,100.0,P,12,9,3,0,,1110112000,111210101
2010,45,1,100.0,P,12,1,9,0,,1110112000,111210101
2010,46,1,100.0,P,12,9,2,0,,1110112000,111210101
2010,47,1,100.0,P,12,1,14,0,,1110112000,111210101
2010,49,1,100.0,P,12,1,17,2,,1110112000,111210101
2010,37,2,20.0,E,,,,,73023,,111210101
2010,48,1,100.0,P,12,1,20,0,,1110112000,111210101
2010,50,1,100.0,P,12,1,16,0,,1110112000,111210101
2010,51,1,75.0,P,12,1,21,0,,1110112000,111210101
2010,51,2,25.0,E,,,,,73021,,111210115
2010,52,1,50.0,P,12,1,16,0,,1110112000,111210101
2010,52,2,50.0,E,,,,,71010,,111210101
2010,53,1,100.0,P,12,1,19,1,,1110112000,111210101
2010,54,1,100.0,P,12,2,1,0,,1110112000,111210101
2010,55,1,100.0,P,12,2,12,0,,1110112000,111210101
2010,56,1,100.0,E,,,,,73003,,111210101
2010,57,1,100.0,P,12,6,6,0,,1110112000,111210101
2010,58,1,100.0,P,17,5,1,19,,1110112000,111220100
2010,59,1,100.0,P,12,2,11,0,,1110112000,111210101
2010,98,2,45.0,E,,,,,71012,,111221000
2010,60,1,100.0,P,12,2,5,0,,1110112000,111210101
2010,61,1,100.0,P,12,1,17,1,,1110112000,111210107
2010,62,1,100.0,P,12,2,5,0,,1110112000,111210101
2010,64,1,100.0,P,12,1,5,1,,1110112000,111210101
2010,65,1,100.0,P,12,1,19,1,,1110112000,111220100
2010,63,1,100.0,P,12,6,1,0,,1110112000,111210101
2010,66,1,50.0,P,12,6,1,0,,1110112000,111210101
2010,66,2,50.0,E,,,,,71008,,111210111
2010,67,1,100.0,E,,,,,71005,,111210111
2010,68,1,100.0,P,12,1,4,0,,1110112000,111210101
2010,69,1,100.0,P,12,9,2,0,,1110112000,111210101
