CODIGO,JURISDICCION,DESCRIPCION,PADRE,SELECCIONABLE
INTE,1110107000,Intereses,,S
PRESID,1110200000,Presidencia,,S
SECHCD,1110200000,Secretaria,,S
AMORT,1110107000,Amortizacion de la Deuda,,S
CAS,1110111000,C.A.S.E.R.,,S
DEPORT,1110109000,Director de Deportes,,S
INSPE,1110101000,Inspección General y Tránsito,,S
VIVIEN,1110106000,Vivienda,,S
COM,1110101000,Compras,,S
TESO,1110101000,TESORERIA,,S
CON,1110101000,CONTADURIA,,S
DES,1110101000,DESPACHO,,S
HAC,1110101000,GOBIERNO Y HACIENDA,,S
FIN,1110101000,DIRECCION DE FINANZAS,,S
RECA,1110101000,RECAUDACION,,S
MAYO,1110101000,MAYORDOMIA,,S
PERSO,1110101000,PERSONAL,,S
ASELEG,1110101000,ASESOR LEGAL,,S
1,1110101000,DESCENTRALIZACION TRIBUTARIA,,S
DESC,1110101000,DESCENTRALIZACION TRIBUTARIA,,S
PROD,1110108000,PRODUCCION,,S
DEP,1110109000,DEPORTE,,S
MESE,1110101000,MESA DE ENTRADA,,S
COOP,1110101000,COOPERADORA POLICIAL,,S
JUZG,1110101000,JUZGADO DE FALTAS,,S
CONC,1110200000,concejales,,S
SURB,1110103000,Servicios Urbanos,,S
RESID,1110103000,Residuos,,S
PREN,1110101000,PRENSA,,S
GIM,1110109000,GIMNASIO,,S
IOM,1110101000,IOMA,,S
CEM,1110101000,CASA ESTUDIANTE DE MAR DEL PLATA,,S
CPA,1110104000,CENTRO PREVENTIVO DE ADICCIONES,,S
VIV,1110108000,VIVERO,,S
PLASM,1110108000,PLAZA SAN MARTIN,,S
PLAMAD,1110108000,PLAZA MADARIAGA,,S
POL,1110108000,POLIDEPORTIVO,,S
CRI,1110108000,CRISTO,,S
PLAT,1110108000,PLAZOLETA TUYU,,S
POD,1110108000,PODA,,S
COMIS,1110103000,COMISARIA,,S
CO,1110102000,COMISARIA,,S
MESEN,1110102000,MESA DE ENTRADAS,,S
