EJERCICIO,NRO_REG_COMP,FECH_REG_COMP,LUG_EMI,JURISDICCION,CODIGO_UE,COD_PROV,TIPO_REGIS,NRO_ORIG,CODIGO_FF,UNI_COMPRA,NRO_OC,DELEG_SOLIC,NRO_SOLIC,TIPO_DOC,NRO_DOC,ANIO_DOC,IMPORTE_TOT,ESTADO_REG_COMP,CONFIRMADO,FECH_CONFIRM,FECH_ANUL,MOTIVO_ANUL,CANT_IMPRES,CONCEPTO,FECH_RELOJ,DEUDA,DEPENDENCIA,INSISTIDO,RC_DIFERIDO,EJERCICIO_ANT,NRO_REG_COMP_ANT,RC_EJERCICIO_ANT
2026,1149,2026-02-12 00:00:00,GMADA,1110109000,13,193,R,1149,110,,,,,,,,574425.57,D,S,2026-02-12 00:00:00,,,2,periodo 11/25,2026-02-12 00:00:00,N,DEP,,N,2026,,N
2026,1150,2026-02-12 00:00:00,GMADA,1110103000,3,193,R,1150,110,,,,,,,,341672.91,D,S,2026-02-12 00:00:00,,,2,periodo 11/25,2026-02-12 00:00:00,N,CEMEN,,N,2026,,N
2026,1156,2026-02-12 00:00:00,GMADA,1110106000,7,193,R,1156,110,,,,,,,,1491458.26,D,S,2026-02-12 00:00:00,,,2,periodo 11/25,2026-02-12 00:00:00,N,ACCSOC,,N,2026,,N
2026,1157,2026-02-12 00:00:00,GMADA,1110105000,6,193,R,1157,110,,,,,,,,389745.35,D,S,2026-02-12 00:00:00,,,2,periodo 11/25,2026-02-12 00:00:00,N,CULTUR,,N,2026,,N
2026,1158,2026-02-12 00:00:00,GMADA,1110102000,2,193,R,1158,110,,,,,,,,1107124.87,D,S,2026-02-12 00:00:00,,,2,periodo 11/25,2026-02-12 00:00:00,N,ADFIN,,N,2026,,N
2026,1159,2026-02-12 00:00:00,GMADA,1110103000,3,1477,R,1159,110,1,624,1,671,EXPED,699,2025,3500000.0,D,S,2026-02-12 00:00:00,,,1,herreria,2026-02-12 00:00:00,N,OPP,2026-02-12 00:00:00,N,2026,,N
2026,1160,2026-02-12 00:00:00,GMADA,1110113000,20,193,R,1160,110,,,,,,,,9286862.51,D,S,2026-02-12 00:00:00,,,2,periodo 11/25,2026-02-12 00:00:00,N,SECSEG,,N,2026,,N
2026,1432,2026-02-24 00:00:00,GMADA,1110101000,1,50126,R,1432,131,,,,,EXPED,25667,2526,314045.25,D,S,2026-02-24 00:00:00,,,2,MULTAS,2026-02-24 00:00:00,N,INT,,N,2026,,N
2026,1433,2026-02-24 00:00:00,GMADA,1110101000,1,51099,R,1433,131,,,,,EXPED,1075023,2025,130326.0,D,S,2026-02-24 00:00:00,,,2,MULTAS,2026-02-24 00:00:00,N,INT,,N,2026,,N
2026,1434,2026-02-24 00:00:00,GMADA,1110101000,1,51080,R,1434,131,,,,,,,,320742.33,D,S,2026-02-24 00:00:00,,,2,EXPTES 1761-2994/25 422/26,2026-02-24 00:00:00,N,INT,,N,2026,,N
2026,1435,2026-02-24 00:00:00,GMADA,1110101000,1,50910,R,1435,131,,,,,EXPED,1301391,2526,317025.0,D,S,2026-02-24 00:00:00,,,2,multas,2026-02-24 00:00:00,N,INT,,N,2026,,N
2026,1437,2026-02-24 00:00:00,GMADA,1110101000,1,216,R,1437,131,,,,,,,,357812.0,D,S,2026-02-24 00:00:00,,,2,MULTAS,2026-02-24 00:00:00,N,INT,,N,2026,,N
2026,1438,2026-02-24 00:00:00,GMADA,1110101000,1,50278,R,1438,131,,,,,,,,1525654.41,D,S,2026-02-24 00:00:00,,,2,MULTAS,2026-02-24 00:00:00,N,INT,,N,2026,,N
2026,1440,2026-02-24 00:00:00,GMADA,1110101000,1,50278,R,1440,131,,,,,,,,1588872.5,D,S,2026-02-24 00:00:00,,,2,multas,2026-02-24 00:00:00,N,INT,,N,2026,,N
2026,1441,2026-02-24 00:00:00,GMADA,1110101000,1,50278,R,1441,131,,,,,,,,1385898.5,D,S,2026-02-24 00:00:00,,,2,multas,2026-02-24 00:00:00,N,INT,,N,2026,,N
