EJERCICIO,NRO_COTI,COD_PROV,FECH_EMI_COTI,NRO_CERTIF,NRO_LLAMADO,ESTADO
2026,807,3454,2026-02-26 00:00:00,,1,N
2026,810,2110,2026-02-26 00:00:00,,1,N
2026,812,3529,2026-02-26 00:00:00,,1,N
2026,814,3184,2026-02-26 00:00:00,,1,N
2026,818,850,2026-02-26 00:00:00,,1,N
2026,820,2306,2026-02-26 00:00:00,,1,N
2026,821,345,2026-02-26 00:00:00,,1,N
2026,822,1573,2026-02-26 00:00:00,,1,N
2026,825,2209,2026-02-26 00:00:00,,1,N
2026,826,285,2026-02-26 00:00:00,,1,N
2026,828,1810,2026-02-26 00:00:00,,1,N
2026,829,866,2026-02-26 00:00:00,,1,N
2026,830,1658,2026-02-26 00:00:00,,1,N
2026,831,1876,2026-02-26 00:00:00,,1,N
2026,833,1063,2026-02-27 00:00:00,,1,N
2026,834,1267,2026-02-27 00:00:00,,1,N
2026,844,2869,2026-02-27 00:00:00,,1,N
2026,845,3198,2026-02-27 00:00:00,,1,N
2026,846,71,2026-02-27 00:00:00,,1,N
2026,847,3287,2026-02-27 00:00:00,,1,N
2026,852,3482,2026-03-03 00:00:00,,1,N
2026,856,2843,2026-03-04 00:00:00,,1,N
2026,857,313,2026-03-04 00:00:00,,1,N
2026,858,3296,2026-03-13 00:00:00,,1,N
2026,859,71,2026-03-04 00:00:00,,1,N
2026,860,441,2026-03-04 00:00:00,,1,N
2026,861,1259,2026-03-04 00:00:00,,1,N
2026,862,2958,2026-03-04 00:00:00,,1,N
2026,864,90,2026-03-04 00:00:00,,1,N
2026,865,688,2026-03-04 00:00:00,,1,N
2026,866,130,2026-03-04 00:00:00,,1,N
2026,867,2302,2026-03-04 00:00:00,,1,N
2026,868,3072,2026-03-04 00:00:00,,1,N
2026,870,2330,2026-03-04 00:00:00,,1,N
2026,873,313,2026-03-05 00:00:00,,1,N
2026,874,2770,2026-03-05 00:00:00,,1,N
2026,875,3337,2026-03-05 00:00:00,,1,N
2026,887,3563,2026-03-06 00:00:00,,1,N
2026,891,33,2026-03-06 00:00:00,,1,N
2026,892,3529,2026-03-09 00:00:00,,1,N
2026,893,3364,2026-03-09 00:00:00,,1,N
2026,894,2330,2026-03-09 00:00:00,,1,N
2026,895,1259,2026-03-09 00:00:00,,1,N
2026,896,2627,2026-03-09 00:00:00,,1,N
2026,897,850,2026-03-09 00:00:00,,1,N
2026,898,3165,2026-03-09 00:00:00,,1,N
2026,899,1603,2026-03-09 00:00:00,,1,N
2026,900,3322,2026-03-09 00:00:00,,1,N
2026,901,2109,2026-03-09 00:00:00,,1,N
2026,902,3322,2026-03-09 00:00:00,,1,N
2026,904,1440,2026-03-09 00:00:00,,1,N
2026,908,2627,2026-03-09 00:00:00,,1,N
2026,917,1514,2026-03-09 00:00:00,,1,N
2026,920,777,2026-03-09 00:00:00,,1,N
